w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[2.285781, 0.555556, 3.38488, 11.85386, 0.6665321]
gene	p_phi_m_neg	q_phi_m_neg	phi_m_neg	p_phi_k_neg	q_phi_k_neg	phi_k_neg	p_phi_neg	q_phi_neg	phi_neg	p_phi_m_pos	q_phi_m_pos	phi_m_pos_or_p(m=0|s)	p_phi_k_pos	q_phi_k_pos	phi_k_pos_or_p(k=0|s)	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs	dm/ds	dk/ds	d(m+k)/ds
ENSG00000113621.15	9.598354e-02	1.943775e-01	1.752814	2.853306e-01	6.687190e-01	0.264666	9.779959e-02	1.977258e-01	2.017480	8.827223e-01	1.000000e+00	0.059956	1.000000e+00	1.000000e+00	0.767463	9.048440e-01	1.000000e+00	0.059956	1	0	2	0.224554	0.000000	0.211440
ENSG00000113638.14	3.349245e-01	4.154206e-01	0.869851	3.634805e-01	7.017610e-01	0.220879	3.484878e-01	4.295820e-01	1.090730	7.518202e-01	1.000000e+00	0.217515	1.000000e+00	1.000000e+00	0.801814	8.100194e-01	1.000000e+00	0.217515	1	0	0	0.397430	0.000000	0.363541
ENSG00000113643.9	1.422545e-01	2.406742e-01	1.504014	2.853306e-01	6.687190e-01	0.264499	1.349738e-01	2.388042e-01	1.768513	8.525901e-01	1.000000e+00	0.086257	1.000000e+00	1.000000e+00	0.767591	8.840564e-01	1.000000e+00	0.086257	1	0	1	0.245941	0.000000	0.230144
ENSG00000113645.15	4.537173e-03	3.447968e-02	3.753069	1.967711e-01	6.213920e-01	0.336708	4.814575e-03	3.417605e-02	4.089777	1.000000e+00	1.000000e+00	0.023446	1.000000e+00	1.000000e+00	0.714117	1.000000e+00	1.000000e+00	0.016743	0	0	3	0.000000	0.000000	0.000000
ENSG00000113648.17	7.025096e-02	1.615516e-01	1.992564	8.384684e-01	8.533640e-01	0.064733	9.308140e-02	1.916249e-01	2.057296	1.000000e+00	1.000000e+00	0.136345	1.000000e+00	1.000000e+00	0.937318	1.000000e+00	1.000000e+00	0.127799	0	0	1	0.000000	0.000000	0.000000
ENSG00000113649.14	2.459007e-03	2.446784e-02	4.167722	5.831678e-02	4.761324e-01	0.555860	1.990009e-03	2.014277e-02	4.723582	1.000000e+00	1.000000e+00	0.015488	1.000000e+00	1.000000e+00	0.573579	1.000000e+00	1.000000e+00	0.008883	0	0	3	0.000000	0.000000	0.000000
ENSG00000113657.13	3.784896e-03	3.103614e-02	3.887130	4.675228e-01	7.345923e-01	0.180145	4.975610e-03	3.496902e-02	4.067275	1.000000e+00	1.000000e+00	0.020504	1.000000e+00	1.000000e+00	0.835149	1.000000e+00	1.000000e+00	0.017124	0	0	3	0.000000	0.000000	0.000000
ENSG00000113658.18	1.104696e-01	2.102741e-01	1.650321	6.621252e-01	7.887188e-01	0.136860	1.307928e-01	2.347511e-01	1.787181	1.000000e+00	1.000000e+00	0.191988	1.000000e+00	1.000000e+00	0.872092	1.000000e+00	1.000000e+00	0.167431	0	0	0	0.000000	0.000000	0.000000
ENSG00000113712.19	1.071619e-01	2.065896e-01	1.666667	5.292624e-01	7.526452e-01	0.175578	1.202492e-01	2.235865e-01	1.842244	1.000000e+00	1.000000e+00	0.188876	1.000000e+00	1.000000e+00	0.838972	1.000000e+00	1.000000e+00	0.158461	0	0	0	0.000000	0.000000	0.000000
ENSG00000113716.13	3.098431e-01	3.923480e-01	0.936176	2.853306e-01	6.687190e-01	0.260717	3.128263e-01	3.968344e-01	1.196892	6.364972e-01	1.000000e+00	0.325299	1.000000e+00	1.000000e+00	0.770499	7.203632e-01	1.000000e+00	0.325299	4	0	3	0.644166	0.000000	0.617337
ENSG00000113719.17	2.981604e-02	1.008789e-01	2.484235	7.288369e-01	8.083671e-01	0.106011	4.053012e-02	1.192289e-01	2.590246	1.000000e+00	1.000000e+00	0.083389	1.000000e+00	1.000000e+00	0.899415	1.000000e+00	1.000000e+00	0.075002	0	0	2	0.000000	0.000000	0.000000
ENSG00000113721.14	5.877167e-06	3.984064e-04	8.093128	5.831678e-02	4.761324e-01	0.545296	9.403468e-06	5.351171e-04	8.638424	1.000000e+00	1.000000e+00	0.000306	1.000000e+00	1.000000e+00	0.579670	1.000000e+00	1.000000e+00	0.000177	0	0	8	0.000000	0.000000	0.000000
ENSG00000113722.18	3.446665e-01	4.237968e-01	0.840646	7.877661e-01	8.289839e-01	0.084283	4.223086e-01	4.936168e-01	0.924929	7.363644e-01	1.000000e+00	0.226958	1.000000e+00	1.000000e+00	0.919171	7.984085e-01	1.000000e+00	0.226958	1	0	0	0.410955	0.000000	0.396888
ENSG00000113732.9	1.422545e-01	2.406742e-01	1.508494	4.140406e-01	7.185008e-01	0.210208	1.489462e-01	2.516703e-01	1.718703	1.000000e+00	1.000000e+00	0.221243	1.000000e+00	1.000000e+00	0.810415	1.000000e+00	1.000000e+00	0.179299	0	0	0	0.000000	0.000000	0.000000
ENSG00000113734.18	4.358860e-02	1.238577e-01	2.270265	4.675228e-01	7.345923e-01	0.199708	4.944461e-02	1.333915e-01	2.469973	1.000000e+00	1.000000e+00	0.103285	1.000000e+00	1.000000e+00	0.818970	1.000000e+00	1.000000e+00	0.084587	0	0	1	0.000000	0.000000	0.000000
ENSG00000113739.11	2.708692e-01	3.548810e-01	1.071602	5.292624e-01	7.526452e-01	0.167718	2.996709e-01	3.846775e-01	1.239320	7.970026e-01	1.000000e+00	0.152505	1.000000e+00	1.000000e+00	0.845592	8.430855e-01	1.000000e+00	0.152505	1	0	1	0.347515	0.000000	0.327749
ENSG00000113742.14	8.733470e-04	1.335130e-02	4.899055	6.539759e-02	4.886869e-01	0.533458	7.616809e-04	1.124024e-02	5.432513	1.000000e+00	1.000000e+00	0.007454	1.000000e+00	1.000000e+00	0.586573	1.000000e+00	1.000000e+00	0.004372	0	0	4	0.000000	0.000000	0.000000
ENSG00000113749.8	1.920694e-01	2.833169e-01	1.346800	8.384684e-01	8.533640e-01	0.072209	2.426012e-01	3.330531e-01	1.419009	1.000000e+00	1.000000e+00	0.260071	1.000000e+00	1.000000e+00	0.930336	1.000000e+00	1.000000e+00	0.241954	0	0	0	0.000000	0.000000	0.000000
ENSG00000113758.14	4.478966e-01	5.086405e-01	0.662750	5.292624e-01	7.526452e-01	0.168424	4.804032e-01	5.417231e-01	0.831174	5.654058e-01	1.000000e+00	0.452502	1.000000e+00	1.000000e+00	0.844996	6.664966e-01	1.000000e+00	0.452502	3	0	2	0.750137	0.000000	0.719022
ENSG00000113761.12	1.593559e-01	2.557721e-01	1.458533	7.288369e-01	8.083671e-01	0.110391	1.895821e-01	2.868599e-01	1.568923	1.000000e+00	1.000000e+00	0.232577	1.000000e+00	1.000000e+00	0.895484	1.000000e+00	1.000000e+00	0.208269	0	0	0	0.000000	0.000000	0.000000
ENSG00000113763.12	2.024096e-03	2.189447e-02	4.302990	8.980194e-02	5.268897e-01	0.473906	1.877167e-03	1.954712e-02	4.776896	1.000000e+00	1.000000e+00	0.004292	1.000000e+00	1.000000e+00	0.622566	1.000000e+00	1.000000e+00	0.004292	2	0	7	0.162839	0.000000	0.156583
ENSG00000113790.11	4.589104e-01	5.178301e-01	0.659851	2.497373e-01	6.509314e-01	0.299679	4.116438e-01	4.849491e-01	0.959531	5.480999e-01	1.000000e+00	0.499057	1.000000e+00	1.000000e+00	0.741056	6.539301e-01	1.000000e+00	0.499057	4	0	2	0.786531	0.000000	0.740722
ENSG00000113805.9	3.737878e-04	8.091603e-03	5.519815	1.022862e-02	2.990378e-01	0.963462	1.857185e-04	4.482270e-03	6.483277	1.000000e+00	1.000000e+00	0.001418	1.000000e+00	1.000000e+00	0.381570	1.000000e+00	1.000000e+00	0.001418	3	0	9	0.166519	0.000000	0.157598
ENSG00000113810.16	1.495269e-02	6.771892e-02	2.967562	1.636791e-02	3.396341e-01	0.850385	7.141934e-03	4.347764e-02	3.817947	8.941522e-01	1.000000e+00	0.027394	1.000000e+00	1.000000e+00	0.427250	9.121845e-01	1.000000e+00	0.027394	4	0	6	0.298118	0.000000	0.279130
ENSG00000113811.12	2.821158e-02	9.764443e-02	2.538338	1.234099e-01	5.638614e-01	0.400793	2.535763e-02	9.141102e-02	2.939130	1.000000e+00	1.000000e+00	0.078998	1.000000e+00	1.000000e+00	0.669789	1.000000e+00	1.000000e+00	0.052912	0	0	1	0.000000	0.000000	0.000000
ENSG00000113812.14	3.134881e-03	2.773791e-02	4.012352	4.349809e-02	4.408100e-01	0.615590	2.277990e-03	2.184893e-02	4.627941	1.000000e+00	1.000000e+00	0.018091	1.000000e+00	1.000000e+00	0.540322	1.000000e+00	1.000000e+00	0.009775	0	0	3	0.000000	0.000000	0.000000
ENSG00000113838.13	5.264520e-01	5.761243e-01	0.532031	4.140406e-01	7.185008e-01	0.207929	5.441105e-01	5.951810e-01	0.739961	5.065331e-01	1.000000e+00	0.576643	1.000000e+00	1.000000e+00	0.812264	6.226577e-01	1.000000e+00	0.576643	3	0	1	0.846809	0.000000	0.797955
ENSG00000113845.10	4.478966e-01	5.086405e-01	0.676870	1.751760e-01	6.069273e-01	0.355763	3.728663e-01	4.511998e-01	1.032632	5.654058e-01	1.000000e+00	0.455363	1.000000e+00	1.000000e+00	0.700639	6.664966e-01	1.000000e+00	0.455363	3	0	1	0.717917	0.000000	0.657736
ENSG00000113851.16	2.033500e-04	5.440252e-03	5.959233	1.907376e-02	3.546885e-01	0.801724	1.257714e-04	3.380727e-03	6.760957	1.000000e+00	1.000000e+00	0.002582	1.000000e+00	1.000000e+00	0.448555	1.000000e+00	1.000000e+00	0.001158	0	0	5	0.000000	0.000000	0.000000
ENSG00000113889.14	7.275768e-01	7.511054e-01	0.273558	3.208534e-01	6.842968e-01	0.257134	6.829691e-01	7.161348e-01	0.530692	2.785566e-01	1.000000e+00	1.124426	1.000000e+00	1.000000e+00	0.773265	4.305895e-01	1.000000e+00	1.124426	6	0	2	1.297171	0.000000	1.226123
ENSG00000113905.5	3.098431e-01	3.923480e-01	0.938116	1.967711e-01	6.213920e-01	0.339103	2.871596e-01	3.730641e-01	1.277218	6.364972e-01	1.000000e+00	0.324427	1.000000e+00	1.000000e+00	0.712409	7.203632e-01	1.000000e+00	0.324427	4	0	3	0.643279	0.000000	0.608568
ENSG00000113916.18	6.636497e-03	4.328095e-02	3.486048	7.239730e-02	5.005445e-01	0.505586	5.555098e-03	3.743366e-02	3.991633	1.000000e+00	1.000000e+00	0.011150	1.000000e+00	1.000000e+00	0.603152	1.000000e+00	1.000000e+00	0.011150	2	0	5	0.183907	0.000000	0.175352
ENSG00000113924.12	5.816973e-01	6.243742e-01	0.452910	6.621252e-01	7.887188e-01	0.122904	6.525572e-01	6.891298e-01	0.575814	4.946036e-01	1.000000e+00	0.595402	1.000000e+00	1.000000e+00	0.884349	6.133271e-01	1.000000e+00	0.595402	2	0	0	0.860739	0.000000	0.816100
ENSG00000113946.4	2.231748e-01	3.102132e-01	1.252688	4.140406e-01	7.185008e-01	0.207710	2.223544e-01	3.151487e-01	1.460398	8.369321e-01	1.000000e+00	0.119339	1.000000e+00	1.000000e+00	0.812443	8.729556e-01	1.000000e+00	0.119339	1	0	1	0.297705	0.000000	0.279666
ENSG00000113966.11	1.268163e-01	2.266338e-01	1.570950	5.929039e-01	7.695675e-01	0.157806	1.438942e-01	2.475091e-01	1.728756	1.000000e+00	1.000000e+00	0.207848	1.000000e+00	1.000000e+00	0.854015	1.000000e+00	1.000000e+00	0.177505	0	0	0	0.000000	0.000000	0.000000
ENSG00000113971.21	7.439318e-02	1.670582e-01	1.940283	8.044784e-02	5.134359e-01	0.488702	5.279929e-02	1.383187e-01	2.428985	8.671114e-01	1.000000e+00	0.068799	1.000000e+00	1.000000e+00	0.613422	8.940958e-01	1.000000e+00	0.068799	2	0	3	0.296277	0.000000	0.275037
ENSG00000114013.16	1.787082e-01	2.725636e-01	1.385661	5.929039e-01	7.695675e-01	0.156499	1.957155e-01	2.922679e-01	1.542159	8.369321e-01	1.000000e+00	0.100311	1.000000e+00	1.000000e+00	0.855133	8.729556e-01	1.000000e+00	0.100311	1	0	1	0.268301	0.000000	0.257154
ENSG00000114019.15	9.135234e-02	1.890719e-01	1.785698	1.751760e-01	6.069273e-01	0.341435	8.360505e-02	1.797725e-01	2.127133	8.525901e-01	1.000000e+00	0.082745	1.000000e+00	1.000000e+00	0.710749	8.840564e-01	1.000000e+00	0.082745	2	0	3	0.320377	0.000000	0.303037
ENSG00000114021.12	3.893941e-01	4.605547e-01	0.760042	6.621252e-01	7.887188e-01	0.131021	4.446700e-01	5.122933e-01	0.891063	7.173741e-01	1.000000e+00	0.255937	1.000000e+00	1.000000e+00	0.877199	7.836051e-01	1.000000e+00	0.255937	1	0	0	0.452718	0.000000	0.426500
ENSG00000114023.16	1.268163e-01	2.266338e-01	1.566683	5.929039e-01	7.695675e-01	0.159929	1.438942e-01	2.475091e-01	1.726612	1.000000e+00	1.000000e+00	0.208736	1.000000e+00	1.000000e+00	0.852204	1.000000e+00	1.000000e+00	0.177886	0	0	0	0.000000	0.000000	0.000000
ENSG00000114026.22	2.050767e-01	2.943383e-01	1.312291	2.853306e-01	6.687190e-01	0.273403	1.836415e-01	2.819836e-01	1.585693	8.369321e-01	1.000000e+00	0.110336	1.000000e+00	1.000000e+00	0.760786	8.729556e-01	1.000000e+00	0.110336	1	0	1	0.283894	0.000000	0.262368
ENSG00000114030.13	1.855104e-01	2.780042e-01	1.372425	3.208534e-01	6.842968e-01	0.247864	1.706048e-01	2.706106e-01	1.620289	8.369321e-01	1.000000e+00	0.102039	1.000000e+00	1.000000e+00	0.780466	8.729556e-01	1.000000e+00	0.102039	1	0	1	0.271008	0.000000	0.253127
ENSG00000114054.14	1.187423e-02	6.004160e-02	3.117157	3.208534e-01	6.842968e-01	0.248655	1.335175e-02	6.236069e-02	3.365812	1.000000e+00	1.000000e+00	0.044283	1.000000e+00	1.000000e+00	0.779849	1.000000e+00	1.000000e+00	0.034534	0	0	2	0.000000	0.000000	0.000000
ENSG00000114062.22	1.317825e-01	2.310200e-01	1.556161	7.288369e-01	8.083671e-01	0.118621	1.594628e-01	2.610912e-01	1.674782	1.000000e+00	1.000000e+00	0.210944	1.000000e+00	1.000000e+00	0.888144	1.000000e+00	1.000000e+00	0.187349	0	0	0	0.000000	0.000000	0.000000
ENSG00000114098.18	1.221146e-01	2.223652e-01	1.596604	4.675228e-01	7.345923e-01	0.190371	1.307928e-01	2.347511e-01	1.786975	1.000000e+00	1.000000e+00	0.202583	1.000000e+00	1.000000e+00	0.826652	1.000000e+00	1.000000e+00	0.167466	0	0	0	0.000000	0.000000	0.000000
ENSG00000114107.9	8.429809e-01	8.543284e-01	0.152504	2.221663e-01	6.360693e-01	0.316291	7.300241e-01	7.571230e-01	0.468795	1.743285e-01	1.000000e+00	1.583725	1.000000e+00	1.000000e+00	0.728847	3.166265e-01	1.000000e+00	1.583725	6	0	1	1.696669	0.000000	1.548957
ENSG00000114113.6	6.602316e-01	6.918667e-01	0.345487	6.621252e-01	7.887188e-01	0.130878	7.300241e-01	7.571230e-01	0.476365	3.714299e-01	1.000000e+00	0.845936	1.000000e+00	1.000000e+00	0.877324	5.129498e-01	1.000000e+00	0.845936	3	0	0	1.099114	0.000000	1.047082
ENSG00000114115.11	1.221146e-01	2.223652e-01	1.597374	5.929039e-01	7.695675e-01	0.147540	1.394052e-01	2.429063e-01	1.744915	1.000000e+00	1.000000e+00	0.202427	1.000000e+00	1.000000e+00	0.862828	1.000000e+00	1.000000e+00	0.174660	0	0	0	0.000000	0.000000	0.000000
ENSG00000114120.14	1.899500e-03	2.105537e-02	4.340385	7.239730e-02	5.005445e-01	0.512771	1.685572e-03	1.833760e-02	4.853155	1.000000e+00	1.000000e+00	0.013032	1.000000e+00	1.000000e+00	0.598834	1.000000e+00	1.000000e+00	0.007804	0	0	3	0.000000	0.000000	0.000000
ENSG00000114124.3	3.373494e-04	7.663551e-03	5.618574	5.269468e-02	4.640787e-01	0.569948	2.879812e-04	6.234097e-03	6.188522	1.000000e+00	1.000000e+00	0.000633	1.000000e+00	1.000000e+00	0.565555	1.000000e+00	1.000000e+00	0.000633	1	0	7	0.078386	0.000000	0.074897
ENSG00000114125.14	9.843432e-02	1.971351e-01	1.733119	2.853306e-01	6.687190e-01	0.267369	9.779959e-02	1.977258e-01	2.000488	1.000000e+00	1.000000e+00	0.176732	1.000000e+00	1.000000e+00	0.765391	1.000000e+00	1.000000e+00	0.135269	0	0	0	0.000000	0.000000	0.000000
ENSG00000114126.18	5.219865e-02	1.368505e-01	2.172936	2.853306e-01	6.687190e-01	0.261253	5.279929e-02	1.383187e-01	2.434189	1.000000e+00	1.000000e+00	0.113843	1.000000e+00	1.000000e+00	0.770086	1.000000e+00	1.000000e+00	0.087669	0	0	1	0.000000	0.000000	0.000000
ENSG00000114127.11	8.635381e-01	8.729266e-01	0.130984	3.208534e-01	6.842968e-01	0.251979	7.949586e-01	8.133626e-01	0.382963	1.483044e-01	1.000000e+00	1.748816	1.000000e+00	1.000000e+00	0.777261	2.820934e-01	1.000000e+00	1.748816	7	0	1	1.797050	0.000000	1.682501
ENSG00000114166.8	3.364091e-03	2.893832e-02	3.969159	7.239730e-02	5.005445e-01	0.515345	2.769321e-03	2.445252e-02	4.484504	1.000000e+00	1.000000e+00	0.018889	1.000000e+00	1.000000e+00	0.597295	1.000000e+00	1.000000e+00	0.011282	0	0	3	0.000000	0.000000	0.000000
ENSG00000114200.10	7.096409e-01	7.350423e-01	0.289916	5.292624e-01	7.526452e-01	0.160555	7.460406e-01	7.714300e-01	0.450471	3.372283e-01	1.000000e+00	0.953976	1.000000e+00	1.000000e+00	0.851671	4.839130e-01	1.000000e+00	0.953976	3	0	0	1.224676	0.000000	1.146193
ENSG00000114204.16	6.989127e-03	4.458943e-02	3.450039	8.044784e-02	5.134359e-01	0.480771	6.038202e-03	3.940928e-02	3.930810	1.000000e+00	1.000000e+00	0.007636	1.000000e+00	1.000000e+00	0.618306	1.000000e+00	1.000000e+00	0.007636	1	0	4	0.119434	0.000000	0.112613
ENSG00000114209.15	3.613635e-02	1.120780e-01	2.364277	1.751760e-01	6.069273e-01	0.350493	3.404996e-02	1.087183e-01	2.714770	1.000000e+00	1.000000e+00	0.094017	1.000000e+00	1.000000e+00	0.704341	1.000000e+00	1.000000e+00	0.066220	0	0	1	0.000000	0.000000	0.000000
ENSG00000114248.10	5.816973e-01	6.243742e-01	0.442774	4.140406e-01	7.185008e-01	0.206947	5.964937e-01	6.407007e-01	0.649721	4.483855e-01	1.000000e+00	0.676241	1.000000e+00	1.000000e+00	0.813062	5.761493e-01	1.000000e+00	0.676241	3	0	1	0.953032	0.000000	0.891880
ENSG00000114251.15	4.008886e-01	4.700979e-01	0.745385	5.292624e-01	7.526452e-01	0.166234	4.329274e-01	5.023706e-01	0.911619	6.969051e-01	1.000000e+00	0.261721	1.000000e+00	1.000000e+00	0.846848	7.674358e-01	1.000000e+00	0.261721	1	0	0	0.461111	0.000000	0.426875
ENSG00000114268.12	4.985013e-03	3.640343e-02	3.696463	3.634805e-01	7.017610e-01	0.232944	6.038202e-03	3.940928e-02	3.929407	1.000000e+00	1.000000e+00	0.024811	1.000000e+00	1.000000e+00	0.792198	1.000000e+00	1.000000e+00	0.019655	0	0	3	0.000000	0.000000	0.000000
ENSG00000114270.18	1.850132e-03	2.082011e-02	4.365164	1.893623e-03	1.660825e-01	1.442161	4.689979e-04	8.489362e-03	5.807324	1.000000e+00	1.000000e+00	0.008312	1.000000e+00	1.000000e+00	0.236416	1.000000e+00	1.000000e+00	0.008312	13	0	16	0.397367	0.000000	0.379767
ENSG00000114279.15	1.317825e-01	2.310200e-01	1.543292	5.929039e-01	7.695675e-01	0.155471	1.540887e-01	2.560871e-01	1.698763	1.000000e+00	1.000000e+00	0.213676	1.000000e+00	1.000000e+00	0.856012	1.000000e+00	1.000000e+00	0.182910	0	0	0	0.000000	0.000000	0.000000
ENSG00000114302.17	1.138384e-01	2.139342e-01	1.623891	5.929039e-01	7.695675e-01	0.156171	1.307928e-01	2.347511e-01	1.780062	1.000000e+00	1.000000e+00	0.197130	1.000000e+00	1.000000e+00	0.855413	1.000000e+00	1.000000e+00	0.168628	0	0	0	0.000000	0.000000	0.000000
ENSG00000114315.4	2.114734e-01	2.999266e-01	1.291766	5.929039e-01	7.695675e-01	0.154430	2.298983e-01	3.220848e-01	1.446195	1.000000e+00	1.000000e+00	0.274785	1.000000e+00	1.000000e+00	0.856904	1.000000e+00	1.000000e+00	0.235464	0	0	0	0.000000	0.000000	0.000000
ENSG00000114316.13	3.079988e-02	1.027569e-01	2.464129	1.967711e-01	6.213920e-01	0.334003	3.059771e-02	1.018826e-01	2.798132	8.941522e-01	1.000000e+00	0.024499	1.000000e+00	1.000000e+00	0.716052	9.121845e-01	1.000000e+00	0.024499	1	0	3	0.165280	0.000000	0.156264
ENSG00000114331.16	8.474875e-04	1.310909e-02	4.903905	3.098913e-02	4.037366e-01	0.684974	6.171026e-04	9.831461e-03	5.588880	1.000000e+00	1.000000e+00	0.007418	1.000000e+00	1.000000e+00	0.504103	1.000000e+00	1.000000e+00	0.003739	0	0	4	0.000000	0.000000	0.000000
ENSG00000114346.14	4.819277e-04	9.392898e-03	5.286610	4.349809e-02	4.408100e-01	0.612510	4.255069e-04	8.017719e-03	5.899120	1.000000e+00	1.000000e+00	0.005059	1.000000e+00	1.000000e+00	0.541989	1.000000e+00	1.000000e+00	0.002742	0	0	4	0.000000	0.000000	0.000000
ENSG00000114349.10	1.855104e-01	2.780042e-01	1.367107	5.292624e-01	7.526452e-01	0.172007	2.026283e-01	2.982457e-01	1.539114	1.000000e+00	1.000000e+00	0.254843	1.000000e+00	1.000000e+00	0.841973	1.000000e+00	1.000000e+00	0.214571	0	0	0	0.000000	0.000000	0.000000
ENSG00000114353.17	2.342639e-02	8.801060e-02	2.664963	7.288369e-01	8.083671e-01	0.115863	3.059771e-02	1.018826e-01	2.780825	1.000000e+00	1.000000e+00	0.069602	1.000000e+00	1.000000e+00	0.890598	1.000000e+00	1.000000e+00	0.061987	0	0	2	0.000000	0.000000	0.000000
ENSG00000114354.15	1.024978e-02	5.550605e-02	3.182008	9.929121e-02	5.394125e-01	0.456275	9.184837e-03	5.060881e-02	3.638283	1.000000e+00	1.000000e+00	0.041502	1.000000e+00	1.000000e+00	0.633640	1.000000e+00	1.000000e+00	0.026297	0	0	2	0.000000	0.000000	0.000000
ENSG00000114374.13	6.602316e-01	6.918667e-01	0.342147	1.154041e-02	3.087421e-01	0.934999	2.871596e-01	3.730641e-01	1.277146	2.907728e-01	1.000000e+00	1.084803	1.000000e+00	1.000000e+00	0.392586	4.421534e-01	1.000000e+00	1.084803	16	0	6	1.175478	0.000000	1.094230
ENSG00000114378.17	3.446665e-01	4.237968e-01	0.846040	5.292624e-01	7.526452e-01	0.165995	3.819348e-01	4.585858e-01	1.012035	6.547705e-01	1.000000e+00	0.301523	1.000000e+00	1.000000e+00	0.847050	7.345166e-01	1.000000e+00	0.301523	2	0	1	0.553146	0.000000	0.528070
ENSG00000114383.10	4.360529e-01	4.991550e-01	0.692819	5.929039e-01	7.695675e-01	0.140382	4.804032e-01	5.417231e-01	0.833200	6.756004e-01	1.000000e+00	0.283961	1.000000e+00	1.000000e+00	0.869027	7.507705e-01	1.000000e+00	0.283961	1	0	0	0.493598	0.000000	0.460448
ENSG00000114388.14	4.528357e-02	1.266228e-01	2.253509	4.140406e-01	7.185008e-01	0.206542	4.944461e-02	1.333915e-01	2.460051	1.000000e+00	1.000000e+00	0.105030	1.000000e+00	1.000000e+00	0.813392	1.000000e+00	1.000000e+00	0.085431	0	0	1	0.000000	0.000000	0.000000
ENSG00000114391.14	1.104696e-01	2.102741e-01	1.640126	2.497373e-01	6.509314e-01	0.287579	1.081716e-01	2.100833e-01	1.927705	1.000000e+00	1.000000e+00	0.193956	1.000000e+00	1.000000e+00	0.750077	1.000000e+00	1.000000e+00	0.145482	0	0	0	0.000000	0.000000	0.000000
ENSG00000114395.11	1.984719e-01	2.890277e-01	1.339673	5.929039e-01	7.695675e-01	0.146325	2.156885e-01	3.096734e-01	1.485998	1.000000e+00	1.000000e+00	0.261931	1.000000e+00	1.000000e+00	0.863877	1.000000e+00	1.000000e+00	0.226276	0	0	0	0.000000	0.000000	0.000000
ENSG00000114405.11	9.362210e-02	1.918560e-01	1.768178	2.853306e-01	6.687190e-01	0.266622	9.530062e-02	1.946393e-01	2.034800	1.000000e+00	1.000000e+00	0.170644	1.000000e+00	1.000000e+00	0.765963	1.000000e+00	1.000000e+00	0.130707	0	0	0	0.000000	0.000000	0.000000
ENSG00000114416.19	1.011860e-01	2.002186e-01	1.709841	4.675228e-01	7.345923e-01	0.192354	1.109186e-01	2.130353e-01	1.902195	1.000000e+00	1.000000e+00	0.180895	1.000000e+00	1.000000e+00	0.825015	1.000000e+00	1.000000e+00	0.149241	0	0	0	0.000000	0.000000	0.000000
ENSG00000114423.23	1.175433e-06	9.803922e-05	9.125725	5.425801e-03	2.397922e-01	1.130986	1.175433e-06	9.615385e-05	10.256711	1.000000e+00	1.000000e+00	0.000109	1.000000e+00	1.000000e+00	0.322715	1.000000e+00	1.000000e+00	0.000035	0	0	8	0.000000	0.000000	0.000000
ENSG00000114439.19	1.268163e-01	2.266338e-01	1.574903	4.016339e-02	4.316993e-01	0.632387	7.493388e-02	1.687177e-01	2.207290	7.970026e-01	1.000000e+00	0.148309	1.000000e+00	1.000000e+00	0.531322	8.430855e-01	1.000000e+00	0.148309	5	0	5	0.501027	0.000000	0.469429
ENSG00000114446.5	3.552301e-01	4.326586e-01	0.827694	4.140406e-01	7.185008e-01	0.207114	3.728663e-01	4.511998e-01	1.034808	6.547705e-01	1.000000e+00	0.309722	1.000000e+00	1.000000e+00	0.812927	7.345166e-01	1.000000e+00	0.309722	2	0	1	0.563074	0.000000	0.530793
ENSG00000114450.11	2.372025e-03	2.392413e-02	4.190937	8.044784e-02	5.134359e-01	0.489987	2.107552e-03	2.094626e-02	4.680925	1.000000e+00	1.000000e+00	0.015132	1.000000e+00	1.000000e+00	0.612634	1.000000e+00	1.000000e+00	0.009270	0	0	3	0.000000	0.000000	0.000000
ENSG00000114455.15	8.635381e-01	8.729266e-01	0.137953	4.675228e-01	7.345923e-01	0.190888	8.435498e-01	8.563842e-01	0.328841	1.607440e-01	1.000000e+00	1.661900	1.000000e+00	1.000000e+00	0.826225	2.989809e-01	1.000000e+00	1.661900	6	0	1	1.768122	0.000000	1.670440
ENSG00000114473.14	3.259019e-01	4.076468e-01	0.883483	2.853306e-01	6.687190e-01	0.265223	3.263614e-01	4.096975e-01	1.148706	6.364972e-01	1.000000e+00	0.325407	1.000000e+00	1.000000e+00	0.767035	7.203632e-01	1.000000e+00	0.325407	3	0	2	0.614537	0.000000	0.581560
ENSG00000114480.13	2.147517e-02	8.344371e-02	2.729253	1.555815e-01	5.923518e-01	0.377566	1.967676e-02	7.807836e-02	3.106820	1.000000e+00	1.000000e+00	0.018027	1.000000e+00	1.000000e+00	0.685528	1.000000e+00	1.000000e+00	0.018027	1	0	3	0.146966	0.000000	0.138866
ENSG00000114487.10	4.589104e-01	5.178301e-01	0.658594	8.980194e-02	5.268897e-01	0.469785	3.335010e-01	4.162341e-01	1.128379	5.180911e-01	1.000000e+00	0.556298	1.000000e+00	1.000000e+00	0.625137	6.314605e-01	1.000000e+00	0.556298	7	0	4	0.865070	0.000000	0.815204
